,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021,index,return
0,AAPL,16.9,Tech,4.0,4.0,4.0,3.0,3.0,AAPL,3.383485394627442
1,MSFT,14.6,Tech,6.0,6.0,6.0,6.0,6.0,MSFT,2.5174049707707122
2,V,17.4,Tech,4.0,4.0,4.0,4.0,4.0,V,1.7563195919662915
3,NVDA,13.3,Tech,5.0,6.0,6.0,6.0,6.0,NVDA,4.485905166996479
4,MA,16.3,Tech,3.0,3.0,4.0,4.0,4.0,MA,2.0852217900391006
5,PYPL,17.7,Tech,3.0,4.0,4.0,4.0,4.0,PYPL,3.1613993742028055
6,INTC,16.9,Tech,5.0,4.0,4.0,4.0,5.0,INTC,1.2238741862978804
7,CSCO,12.5,Tech,4.0,4.0,4.0,4.0,5.0,CSCO,1.189988351628929
8,CRM,11.3,Tech,4.0,5.0,6.0,6.0,5.0,CRM,1.7475470272941516
9,AVGO,25.5,Tech,1.0,1.0,1.0,2.0,2.0,AVGO,1.8113684752363828
10,ACN,11.3,Tech,6.0,6.0,6.0,6.0,4.0,ACN,2.0646560678189645
11,TXN,19.9,Tech,5.0,5.0,5.0,5.0,6.0,TXN,1.9250398432924734
12,QCOM,19.1,Tech,5.0,5.0,5.0,5.0,6.0,QCOM,2.3792683570338573
13,ORCL,18.2,Tech,4.0,4.0,3.0,3.0,3.0,ORCL,1.65347179621115
14,IBM,18.0,Tech,4.0,5.0,5.0,5.0,5.0,IBM,1.2412117102366398
15,AMAT,12.3,Tech,4.0,5.0,5.0,5.0,5.0,AMAT,4.052867511847722
16,INTU,16.6,Tech,5.0,5.0,5.0,5.0,5.0,INTU,2.1381189138836856
17,NOW,17.1,Tech,3.0,3.0,3.0,4.0,4.0,NOW,3.1249437379239766
18,MU,17.9,Tech,1.0,1.0,2.0,3.0,3.0,MU,2.626870191734256
19,AMD,18.4,Tech,3.0,3.0,3.0,3.0,3.0,AMD,4.46202851744515
20,FIS,18.6,Tech,2.0,2.0,2.0,2.0,3.0,FIS,1.5225277749299284
21,LRCX,14.7,Tech,4.0,4.0,4.0,5.0,5.0,LRCX,4.613521140373244
22,ADP,12.6,Tech,4.0,3.0,4.0,4.0,6.0,ADP,1.4339941293409255
23,FISV,19.8,Tech,2.0,2.0,3.0,3.0,3.0,FISV,1.7091815501142191
24,ADSK,15.3,Tech,4.0,5.0,5.0,5.0,5.0,ADSK,2.320331850247582
25,GPN,18.5,Tech,2.0,2.0,1.0,2.0,2.0,GPN,2.135352325039878
26,ADI,25.5,Tech,3.0,4.0,3.0,3.0,3.0,ADI,1.8163407924163533
27,NXPI,19.9,Tech,2.0,2.0,2.0,2.0,3.0,NXPI,2.647607585344892
28,KLAC,19.5,Tech,2.0,2.0,2.0,2.0,2.0,KLAC,3.5732040837358534
29,TEL,16.1,Tech,5.0,5.0,5.0,4.0,4.0,TEL,1.8064859387030248
30,CTSH,17.5,Tech,4.0,4.0,4.0,3.0,4.0,CTSH,1.2708828675107695
31,HPQ,10.2,Tech,5.0,5.0,5.0,4.0,5.0,HPQ,1.6635967567120784
32,MCHP,31.5,Tech,3.0,3.0,3.0,2.0,2.0,MCHP,2.1670637480569637
33,APH,23.8,Tech,3.0,3.0,3.0,3.0,3.0,APH,1.692442558424055
34,CDNS,12.9,Tech,5.0,5.0,5.0,5.0,5.0,CDNS,3.0828129929137345
35,SNPS,14.4,Tech,2.0,2.0,2.0,2.0,4.0,SNPS,2.990719642953426
36,GLW,20.0,Tech,5.0,4.0,4.0,4.0,3.0,GLW,1.4846051491392833
37,ANSS,14.9,Tech,3.0,3.0,4.0,4.0,5.0,ANSS,2.6249913175022193
38,MSI,14.4,Tech,5.0,4.0,4.0,4.0,5.0,MSI,1.6431434754252132
39,PAYX,15.9,Tech,2.0,3.0,3.0,3.0,3.0,PAYX,1.50376515956714
40,XLNX,18.8,Tech,2.0,2.0,3.0,3.0,3.0,XLNX,1.5143351362481632
41,SWKS,32.8,Tech,3.0,4.0,4.0,4.0,4.0,SWKS,2.890082494232768
42,FTNT,19.5,Tech,4.0,4.0,4.0,3.0,3.0,FTNT,2.8417048455742893
43,ZBRA,12.9,Tech,3.0,4.0,4.0,4.0,5.0,ZBRA,3.1784433476946035
44,KEYS,9.3,Tech,5.0,5.0,5.0,5.0,5.0,KEYS,2.387007570516004
45,CDW,10.8,Tech,2.0,1.0,1.0,2.0,3.0,CDW,2.299229543884197
46,MXIM,21.9,Tech,2.0,3.0,4.0,4.0,4.0,MXIM,1.860346214539504
47,FLT,18.5,Tech,3.0,3.0,2.0,1.0,1.0,FLT,1.5782268473269983
48,VRSN,22.2,Tech,1.0,2.0,2.0,3.0,3.0,VRSN,1.4763806307964633
49,QRVO,32.2,Tech,2.0,2.0,2.0,2.0,3.0,QRVO,3.2208238324426346
50,WDC,12.1,Tech,1.0,1.0,1.0,2.0,3.0,WDC,1.8452692517340372
51,TER,18.7,Tech,1.0,1.0,2.0,2.0,2.0,TER,4.171392402370521
52,HPE,11.7,Tech,5.0,5.0,6.0,5.0,5.0,HPE,1.1998513798484083
53,TRMB,12.9,Tech,4.0,4.0,5.0,5.0,5.0,TRMB,2.5703725268497344
54,ENPH,29.7,Tech,,,2.0,2.0,2.0,ENPH,29.85975637885991
55,PAYC,19.3,Tech,2.0,3.0,3.0,4.0,4.0,PAYC,3.3508773294033554
56,BR,15.0,Tech,3.0,3.0,3.0,3.0,3.0,BR,1.6934159802913196
57,TYL,19.8,Tech,1.0,2.0,2.0,2.0,3.0,TYL,2.418788270995215
58,AKAM,21.3,Tech,3.0,3.0,3.0,3.0,3.0,AKAM,1.8468057355827097
59,ANET,17.6,Tech,3.0,3.0,3.0,3.0,3.0,ANET,1.5234386374564675
60,CTXS,14.2,Tech,4.0,4.0,4.0,4.0,4.0,CTXS,1.355151117772369
61,IT,23.5,Tech,3.0,2.0,2.0,2.0,3.0,IT,1.569090215454468
62,NTAP,16.4,Tech,2.0,2.0,2.0,2.0,3.0,NTAP,1.2694729579120798
63,STX,10.7,Tech,3.0,3.0,3.0,3.0,4.0,STX,2.43602846693298
64,MPWR,21.1,Tech,1.0,1.0,1.0,1.0,1.0,MPWR,3.2702701059391375
65,PTC,19.6,Tech,3.0,3.0,4.0,4.0,4.0,PTC,1.8101806225668033
66,FFIV,19.1,Tech,3.0,3.0,3.0,3.0,4.0,FFIV,1.1583323329949222
67,NLOK,17.1,Tech,4.0,3.0,4.0,4.0,4.0,NLOK,1.1689545282660705
68,JKHY,16.3,Tech,3.0,4.0,3.0,3.0,3.0,JKHY,1.317094807220028
69,WU,16.4,Tech,3.0,4.0,4.0,4.0,4.0,WU,1.5297549735730938
70,JNPR,16.0,Tech,3.0,3.0,3.0,3.0,3.0,JNPR,0.9393826999715706
71,DXC,13.9,Tech,,,,,,DXC,0.5850614457471167
72,IPGP,12.2,Tech,2.0,2.0,1.0,1.0,1.0,IPGP,2.003049763316587
73,FLIR,14.3,Tech,,,,,,FLIR,1.4010210888397754
74,ATVI,16.1,Communication Services,2.0,2.0,2.0,3.0,3.0,ATVI,1.9402509540393449
75,CMCSA,19.4,Communication Services,0.0,1.0,1.0,2.0,2.0,CMCSA,1.5740471386495436
76,DIS,16.3,Communication Services,3.0,3.0,3.0,3.0,4.0,DIS,1.6829402343331012
77,DISCA,17.0,Communication Services,3.0,3.0,3.0,3.0,3.0,DISCA,1.4514131548277522
78,DISH,22.5,Communication Services,1.0,0.0,0.0,0.0,0.0,DISH,1.6070325155047624
79,EA,12.7,Communication Services,2.0,2.0,3.0,4.0,4.0,EA,1.791588908453629
80,FB,24.8,Communication Services,3.0,2.0,3.0,3.0,1.0,FB,2.2634140822616122
81,FOXA,17.0,Communication Services,,,1.0,1.0,2.0,FOXA,
82,GOOGL,22.3,Communication Services,4.0,4.0,5.0,5.0,3.0,GOOGL,2.2367352362094217
83,IPG,15.5,Communication Services,2.0,2.0,3.0,2.0,4.0,IPG,1.5380434541895658
84,LUMN,25.8,Communication Services,3.0,3.0,2.0,2.0,2.0,LUMN,0.8367875924497404
85,LYV,15.4,Communication Services,2.0,2.0,2.0,2.0,2.0,LYV,1.7060649104951704
86,NFLX,17.4,Communication Services,2.0,2.0,1.0,1.0,2.0,NFLX,1.8924007400563898
87,NWSA,13.4,Communication Services,0.0,0.0,0.0,0.0,0.0,NWSA,2.2976294370031147
88,T,19.1,Communication Services,2.0,3.0,2.0,2.0,2.0,T,1.0480703495238861
89,TMUS,26.7,Communication Services,2.0,1.0,1.0,2.0,2.0,TMUS,2.0239043442771774
90,TTWO,17.3,Communication Services,3.0,3.0,3.0,3.0,3.0,TTWO,1.6765695731302133
91,TWTR,24.9,Communication Services,1.0,1.0,2.0,2.0,2.0,TWTR,2.280458110591399
92,VIAC,16.1,Communication Services,1.0,1.0,1.0,2.0,3.0,VIAC,0.9073587482178656
93,VZ,18.1,Communication Services,2.0,3.0,2.0,3.0,3.0,VZ,1.0073188119254164
